[BUSQUEDA RUTAS] 702 tareas de busqueda paralela completadas [151ms]
[BUSQUEDA RUTAS] 2246 tareas de busqueda paralela completadas [2142ms]
  [DIAG-ALNS] PAQUETES INCOMPLETOS: 4420
    [SIN RUTAS CANDIDATAS] 4420 paquetes (rutas fuera de deadline o ventana):
      EBCI-000008233 | EBCI→SBBR | cant=1 | creado=2026-06-19T13:26 | deadline=2026-06-21T13:26

      EBCI-000008234 | EBCI→UBBB | cant=2 | creado=2026-06-19T22:10 | deadline=2026-06-21T22:10

      EBCI-000008236 | EBCI→UMMS | cant=2 | creado=2026-06-19T22:35 | deadline=2026-06-20T22:35

      EBCI-000008237 | EBCI→SEQM | cant=2 | creado=2026-06-19T22:43 | deadline=2026-06-21T22:43

      EBCI-000008238 | EBCI→SCEL | cant=2 | creado=2026-06-19T22:58 | deadline=2026-06-21T22:58

      EBCI-000008240 | EBCI→OMDB | cant=2 | creado=2026-06-19T23:15 | deadline=2026-06-21T23:15

      EBCI-000008241 | EBCI→OERK | cant=2 | creado=2026-06-19T23:27 | deadline=2026-06-21T23:27

      EBCI-000008242 | EBCI→OMDB | cant=2 | creado=2026-06-19T23:32 | deadline=2026-06-21T23:32

      EBCI-000008243 | EBCI→SGAS | cant=2 | creado=2026-06-19T23:41 | deadline=2026-06-21T23:41

      EBCI-000008245 | EBCI→SEQM | cant=2 | creado=2026-06-20T00:09 | deadline=2026-06-22T00:09

      EBCI-000008246 | EBCI→UBBB | cant=2 | creado=2026-06-20T00:10 | deadline=2026-06-22T00:10

      EBCI-000008248 | EBCI→SCEL | cant=2 | creado=2026-06-20T00:32 | deadline=2026-06-22T00:32

      EBCI-000008250 | EBCI→UBBB | cant=2 | creado=2026-06-20T00:59 | deadline=2026-06-22T00:59

      EBCI-000008251 | EBCI→LKPR | cant=2 | creado=2026-06-20T01:00 | deadline=2026-06-21T01:00

      EBCI-000008252 | EBCI→OSDI | cant=2 | creado=2026-06-20T01:12 | deadline=2026-06-22T01:12

      EBCI-000008253 | EBCI→SABE | cant=1 | creado=2026-06-20T01:20 | deadline=2026-06-22T01:20

      EBCI-000008256 | EBCI→SPIM | cant=1 | creado=2026-06-20T01:57 | deadline=2026-06-22T01:57

      EBCI-000008257 | EBCI→SBBR | cant=1 | creado=2026-06-20T02:07 | deadline=2026-06-22T02:07

      EBCI-000008258 | EBCI→OAKB | cant=1 | creado=2026-06-20T02:18 | deadline=2026-06-22T02:18

      EBCI-000008260 | EBCI→LOWW | cant=1 | creado=2026-06-20T02:39 | deadline=2026-06-21T02:39

      EBCI-000008261 | EBCI→SEQM | cant=1 | creado=2026-06-20T02:40 | deadline=2026-06-22T02:40

      EBCI-000008263 | EBCI→SVMI | cant=1 | creado=2026-06-20T03:06 | deadline=2026-06-22T03:06

      EBCI-000008266 | EBCI→OPKC | cant=1 | creado=2026-06-20T03:38 | deadline=2026-06-22T03:38

      EBCI-000008269 | EBCI→SABE | cant=1 | creado=2026-06-20T04:01 | deadline=2026-06-22T04:01

      EBCI-000008270 | EBCI→SABE | cant=1 | creado=2026-06-20T04:14 | deadline=2026-06-22T04:14

      EBCI-000008271 | EBCI→SPIM | cant=1 | creado=2026-06-20T04:24 | deadline=2026-06-22T04:24

      EBCI-000008272 | EBCI→OAKB | cant=1 | creado=2026-06-20T04:37 | deadline=2026-06-22T04:37

      EBCI-000008274 | EBCI→SVMI | cant=1 | creado=2026-06-20T04:52 | deadline=2026-06-22T04:52

      EBCI-000008275 | EBCI→SCEL | cant=1 | creado=2026-06-20T05:00 | deadline=2026-06-22T05:00

      EBCI-000008276 | EBCI→VIDP | cant=1 | creado=2026-06-20T05:15 | deadline=2026-06-22T05:15

      EBCI-000008277 | EBCI→SCEL | cant=1 | creado=2026-06-20T05:29 | deadline=2026-06-22T05:29

      EBCI-000008278 | EBCI→SUAA | cant=1 | creado=2026-06-20T05:37 | deadline=2026-06-22T05:37

      EBCI-000008279 | EBCI→EHAM | cant=1 | creado=2026-06-20T05:40 | deadline=2026-06-21T05:40

      EBCI-000008280 | EBCI→OSDI | cant=1 | creado=2026-06-20T05:57 | deadline=2026-06-22T05:57

      EBCI-000008282 | EBCI→VIDP | cant=1 | creado=2026-06-20T06:13 | deadline=2026-06-22T06:13

      EBCI-000008283 | EBCI→OMDB | cant=1 | creado=2026-06-20T06:28 | deadline=2026-06-22T06:28

      EBCI-000008284 | EBCI→EHAM | cant=1 | creado=2026-06-20T06:37 | deadline=2026-06-21T06:37

      EBCI-000008285 | EBCI→SABE | cant=1 | creado=2026-06-20T06:40 | deadline=2026-06-22T06:40

      EBCI-000008286 | EBCI→OERK | cant=1 | creado=2026-06-20T06:53 | deadline=2026-06-22T06:53

      EBCI-000008287 | EBCI→SVMI | cant=1 | creado=2026-06-20T07:03 | deadline=2026-06-22T07:03

      EBCI-000008288 | EBCI→EKCH | cant=1 | creado=2026-06-20T07:15 | deadline=2026-06-21T07:15

      EBCI-000008289 | EBCI→OYSN | cant=1 | creado=2026-06-20T07:21 | deadline=2026-06-22T07:21

      EBCI-000008293 | EBCI→SCEL | cant=1 | creado=2026-06-20T08:08 | deadline=2026-06-22T08:08

      EBCI-000008294 | EBCI→LOWW | cant=1 | creado=2026-06-20T08:15 | deadline=2026-06-21T08:15

      EBCI-000008295 | EBCI→OAKB | cant=1 | creado=2026-06-20T08:20 | deadline=2026-06-22T08:20

      EBCI-000008298 | EBCI→LOWW | cant=1 | creado=2026-06-20T08:55 | deadline=2026-06-21T08:55

      EBCI-000008299 | EBCI→OAKB | cant=1 | creado=2026-06-20T09:06 | deadline=2026-06-22T09:06

      EBCI-000008300 | EBCI→VIDP | cant=1 | creado=2026-06-20T09:12 | deadline=2026-06-22T09:12

      EBCI-000008301 | EBCI→SBBR | cant=1 | creado=2026-06-20T09:26 | deadline=2026-06-22T09:26

      EBCI-000008302 | EBCI→OERK | cant=1 | creado=2026-06-20T09:33 | deadline=2026-06-22T09:33

      EBCI-000008303 | EBCI→SGAS | cant=1 | creado=2026-06-20T09:43 | deadline=2026-06-22T09:43

      EBCI-000008304 | EBCI→SVMI | cant=1 | creado=2026-06-20T09:57 | deadline=2026-06-22T09:57

      EBCI-000008307 | EBCI→LOWW | cant=1 | creado=2026-06-20T10:24 | deadline=2026-06-21T10:24

      EBCI-000008308 | EBCI→SLLP | cant=1 | creado=2026-06-20T10:31 | deadline=2026-06-22T10:31

      EBCI-000008309 | EBCI→SPIM | cant=1 | creado=2026-06-20T10:45 | deadline=2026-06-22T10:45

      EBCI-000008310 | EBCI→OERK | cant=1 | creado=2026-06-20T10:57 | deadline=2026-06-22T10:57

      EBCI-000008312 | EBCI→OERK | cant=1 | creado=2026-06-20T11:15 | deadline=2026-06-22T11:15

      EBCI-000008315 | EBCI→OMDB | cant=1 | creado=2026-06-20T11:42 | deadline=2026-06-22T11:42

      EBCI-000008319 | EBCI→OPKC | cant=1 | creado=2026-06-20T12:21 | deadline=2026-06-22T12:21

      EBCI-000008320 | EBCI→OSDI | cant=1 | creado=2026-06-20T12:38 | deadline=2026-06-22T12:38

      EBCI-000008321 | EBCI→OJAI | cant=1 | creado=2026-06-20T12:41 | deadline=2026-06-22T12:41

      EBCI-000008322 | EBCI→VIDP | cant=1 | creado=2026-06-20T12:59 | deadline=2026-06-22T12:59

      EBCI-000008324 | EBCI→EHAM | cant=1 | creado=2026-06-20T13:10 | deadline=2026-06-21T13:10

      EBCI-000008325 | EBCI→SVMI | cant=1 | creado=2026-06-20T13:28 | deadline=2026-06-22T13:28

      EBCI-000008326 | EBCI→OSDI | cant=1 | creado=2026-06-20T13:30 | deadline=2026-06-22T13:30

