[BUSQUEDA RUTAS] 2246 tareas de busqueda paralela completadas [2291ms]
[BUSQUEDA RUTAS] 712 tareas de busqueda paralela completadas [48ms]
  [DIAG-ALNS] PAQUETES INCOMPLETOS: 6712
    [SIN RUTAS CANDIDATAS] 6712 paquetes (rutas fuera de deadline o ventana):
      EBCI-000008482 | EBCI→LOWW | cant=1 | creado=2026-06-21T18:06 | deadline=2026-06-22T18:06

      EBCI-000008483 | EBCI→OOMS | cant=1 | creado=2026-06-21T18:13 | deadline=2026-06-23T18:13

      EBCI-000008484 | EBCI→SVMI | cant=1 | creado=2026-06-21T18:25 | deadline=2026-06-23T18:25

      EBCI-000008485 | EBCI→SCEL | cant=1 | creado=2026-06-21T18:33 | deadline=2026-06-23T18:33

      EBCI-000008486 | EBCI→SPIM | cant=1 | creado=2026-06-21T18:45 | deadline=2026-06-23T18:45

      EBCI-000008487 | EBCI→LDZA | cant=1 | creado=2026-06-21T18:50 | deadline=2026-06-22T18:50

      EBCI-000008488 | EBCI→VIDP | cant=1 | creado=2026-06-21T19:07 | deadline=2026-06-23T19:07

      EBCI-000008489 | EBCI→SCEL | cant=1 | creado=2026-06-21T19:12 | deadline=2026-06-23T19:12

      EBCI-000008490 | EBCI→SVMI | cant=1 | creado=2026-06-21T19:20 | deadline=2026-06-23T19:20

      EBCI-000008491 | EBCI→VIDP | cant=1 | creado=2026-06-21T19:32 | deadline=2026-06-23T19:32

      EBCI-000008492 | EBCI→OMDB | cant=1 | creado=2026-06-21T19:40 | deadline=2026-06-23T19:40

      EBCI-000008493 | EBCI→EKCH | cant=1 | creado=2026-06-21T19:55 | deadline=2026-06-22T19:55

      EBCI-000008494 | EBCI→SGAS | cant=3 | creado=2026-06-21T22:23 | deadline=2026-06-23T22:23

      EBCI-000008495 | EBCI→SABE | cant=3 | creado=2026-06-21T22:41 | deadline=2026-06-23T22:41

      EBCI-000008496 | EBCI→LBSF | cant=3 | creado=2026-06-21T23:03 | deadline=2026-06-22T23:03

      EBCI-000008497 | EBCI→SBBR | cant=3 | creado=2026-06-21T23:28 | deadline=2026-06-23T23:28

      EBCI-000008498 | EBCI→OAKB | cant=3 | creado=2026-06-21T23:46 | deadline=2026-06-23T23:46

      EDDI-000008026 | EDDI→SUAA | cant=1 | creado=2026-06-19T00:06 | deadline=2026-06-21T00:06

      EDDI-000008027 | EDDI→OOMS | cant=1 | creado=2026-06-19T00:15 | deadline=2026-06-21T00:15

      EDDI-000008028 | EDDI→SABE | cant=1 | creado=2026-06-19T00:26 | deadline=2026-06-21T00:26

      EDDI-000008029 | EDDI→OPKC | cant=1 | creado=2026-06-19T00:35 | deadline=2026-06-21T00:35

      EDDI-000008030 | EDDI→SPIM | cant=1 | creado=2026-06-19T00:51 | deadline=2026-06-21T00:51

      EDDI-000008031 | EDDI→SKBO | cant=1 | creado=2026-06-19T00:00 | deadline=2026-06-21T00:00

      EDDI-000008032 | EDDI→LKPR | cant=1 | creado=2026-06-19T01:03 | deadline=2026-06-20T01:03

      EDDI-000008033 | EDDI→OOMS | cant=1 | creado=2026-06-19T01:16 | deadline=2026-06-21T01:16

